"Product Name","Price","Unity","Location","Time","Store Name","Delivery"
"ECRAN DAHUA 22 FHD IPS 100HZ LM22-B201S","17 500","DA","Dar el beida, 16","il y a environ 11 heures","Informatics","Paiement à la livraison"
"microsoft All Softwares/products","1","DA","Ben aknoun, 16","il y a 1 jour","",""
"Kaspersky 2 ans officiel entreprises","1 000","DA","Oran, 31","il y a 1 jour","",""
"**PROMO** Logiciel de gestion Commercial","20 000","DA","Bab ezzouar, 16","il y a environ 11 heures","Auradev","Paiement à la livraison"
"Installation et maintenance de réseau informatique","","","Bordj el kiffan, 16","il y a environ 11 heures","Infotech  Support Et Consulting",""
"Carte de proximité RFID et Mifare","50","DA","Kouba, 16","il y a environ 11 heures","Overlink",""
"MICROSOFT SURFACE LAPTOP 5 NEUF  Core i7-12th 16GB 512SSD 15.6''","225 000","DA","Bab ezzouar, 16","il y a environ 11 heures","DEYSTORE","Paiement à la livraison"
"ACER Aspire 3 A317-54-73vm Intel Core i7-1255u, 16 GB RAM, 512 GB SSD 17.3""fhd i...","139 000","DA","Bab ezzouar, 16","il y a environ 11 heures","DEYSTORE","Paiement à la livraison"
"Les ARMOIRES DE BRASSAGE Matériel Réseau","12 500","DA","Kouba, 16","il y a 1 jour","",""
"Kaspersky Officiel","1 000","DA","Mohammadia, 16","il y a 1 jour","",""
"LENOVO THINKPAD E14 GEN 5 RYZEN 5 7530U 16GB 256SSD 14""","148 000","DA","Bab ezzouar, 16","il y a environ 11 heures","DEYSTORE","Paiement à la livraison"
"Windows 10 / 11 professional","2 000","DA","Bordj el bahri, 16","il y a environ 12 heures","Imkan techology","Paiement à la livraison"
"TONER HP 103A / 106A / 104A / 135A / 136A","","","Douera, 16","il y a environ 12 heures","CCS Informatique",""
"Alimentation ANTEC - META 550W EC","7 500","DA","Hussein dey, 16","il y a environ 12 heures","CHB Store / COMPUTER HARD BUSINESS",""
"ECRAN Matos COSMOS Gaming CURVED 34"" 180Hz 1ms UWQHD","76 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"ENIGMA ALL IN ONE","","","Kouba, 16","il y a 1 jour","",""
"Station d'accueil multifonctionnel 8en1 type-C adaptateur","3 500","DA","Ain naadja, 16","il y a 1 jour","",""
"ECRAN ASUS ROG SWIFT 360Hz PG259QN","139 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"ASUS TUF Gaming 28 4K IPS HDR10 VG289Q1A","75 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics",""
"D-link AC1200 Wifi Router","7 700","DA","Staoueli, 16","il y a environ 12 heures","GS ICT Store","Paiement à la livraison"
"Souris Gamemax MG8 RGB 6400 DPI 6 Boutons ultra light","3 700","DA","Oran, 31","il y a environ 12 heures","CLICK INFORMATIQUE ORAN","Livraison disponible"
"Intel Core i9-14900KF","125 900","DA","Tizi ouzou, 15","il y a environ 12 heures","Tizainformatique","Paiement à la livraison"
"Cleaver CT50","","","Bab ezzouar, 16","il y a environ 12 heures","SARL AA-TECHNOLOGY",""
"TONER CANON 3025 C-EXV54 ORIGINAL","","","Douera, 16","il y a environ 12 heures","ZED ONE TECHNOLOGY",""
"IMPRIMANTE MULTIFONCTION CANON PIXMA TS3440 JET D'ENCRE WIFI","13 500","DA","Draria, 16","il y a environ 12 heures","DIGITAL WORLD TECHNOLOGY","Paiement à la livraison"
"carte Cisco HWIC-1CE1T1-PRI 1 Port","110 000","DA","Ouled yaich, 9","il y a environ 12 heures","Blida Computer & newmob office","Paiement à la livraison"
"Chargeurs adaptateurs Macbook","6 500","DA","El biar, 16","il y a environ 12 heures","Alpha Digital","Paiement à la livraison"
"EMERSON VERIV LIEBERT EXS 10-80KVA","1","DA","Cheraga, 16","il y a environ 12 heures","RPM Energie",""
"Toner canon Lbp 351 /252","6 200","DA","Blida, 9","il y a environ 12 heures","MacWay Informatique",""
