"Product Name","Price","Unity","Delivery","Location","Time","Store Name"
"HP ELITEBOOK 850 G7 | INTEL  10EME GEN CORE I7 10610U | 16GB RAM | 512GB NVME SS...","99 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 1 jour","PC&Phone"
"HP PROBOOK 650 G8 | INTEL 11EME GEN CORE I5 1135G7 | 512GB NVME SSD | 16GB RAM |...","96 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 1 jour","PC&Phone"
"HP PROBOOK 450 G10 15.6'' FHD| INTEL 13EME GENERATION I5 1335U | 16GB RAM | 512G...","149 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 1 jour","PC&Phone"
"HP EliteBook x360 830 G6 TACTILE | INTEL 8EME CORE I7 8665U | 16GB RAM | 512GB S...","84 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 1 jour","PC&Phone"
"HP ELITEBOOK 840 G4 14'' FHD | INTEL CORE I7 6600U @2.80GHz | 16GB RAM | 512GB S...","49 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 1 jour","PC&Phone"
"HP EliteBook 640 G9 | INTEL vPRO 12EME GENERATION I5 12500 | 16GB RAM | 512GB SS...","96 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 1 jour","PC&Phone"
"MacBook Air 2020 | INTEL CORE I3 DOUBLE COEUR | 8GB RAM | 256GB SSD | Batterie 2...","72 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 1 jour","PC&Phone"
"tonner D105L","1 000","DA","","Bourouba, 16","il y a environ 16 heures",""
"Lenovo ThinkPad USB-C Dock","","","","El affroun, 9","il y a environ 16 heures",""
"Nintendo Switch + 1 JEUX","31 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 1 jour","PC&Phone"
"THINKPAD L13 13.3"" FHD INTEL 10TH GEN VPRO CORE I5 10310U - 8GB RAM - 256GB SSD ...","59 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 1 jour","PC&Phone"
"Écran ThinkVision S27e-20 27"" FHD","45 000","DA","Paiement à la livraison","Bejaia, 6","il y a 1 jour","Global Network's"
