"Product Name","Price","Unity","Location","Time","Store Name"
"CARTE MERE ASUS TUF GAMING X670E-PLUS WIFI","77 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"Lecteur code Barre smart","6 500","DA","Casbah, 16","il y a environ 7 heures",""
"SSD Hard Drive","5 000","DA","Alger centre, 16","il y a environ 7 heures",""
"CARTE MÈRE MSI X670E GAMING PLUS WIFI","65 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE MSI Z790 TOMAHAWK WIFI DDR5","70 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE Z790 F GAMING WIFI ROG STRIX","97 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE ASUS Z790 A GAMING WIFI ROG STRIX","95 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE MSI B760M P DDR4","26 900","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"SSD DAHUA C800A SATA 256GB","4 900","DA","Khemis el khechna, 35","il y a environ 8 heures",""
"Kaspersky idm office windows","500","DA","Alger centre, 16","il y a environ 8 heures",""
"CARTE MERE X670 AORUS ELITE AX GIGABYTE","73 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE B760M MORTAR WIFI","51 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE ASUS H770 PRO WIFI TUF DDR5","56 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE MSI PRO B760M E DDR4","28 900","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE ASUS B660M-K D4","29 800","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"castr","300","DA","Es senia, 31","il y a environ 8 heures",""
"Autocad et autre produit AUTODESK 2024-2023-2022-2021","25 000","DA","Said hamdine, 16","il y a environ 9 heures",""
"CARTE MERE MSI B760 GAMING PLUS WIFI","40 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE ASUS B760MK D4 ASUS PRIME","31 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE ASUS B760M-A-WIFI DDR5","45 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE ASUS B760M-K DDR5","36 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE B550M AUROS ELITE GIGABYTE","28 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"Intégration ERP ODOO","1","DA","Alger centre, 16","il y a environ 9 heures",""
"Ecran Gaming Matos 34"" COSMOS MSG3410 180Hz CURVED VA 1ms","76 000","DA","Dely brahim, 16","il y a environ 9 heures",""
"CARTE MERE  B550 GAMING X V2 ATX","34 900","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE ASUS B760 PLUS TUF WIFI DDR5","52 900","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE ASUS B450M-K II","18 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE ASUS PRIME B650- PLUS","54 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE ASUS PRIME B650M-A","49 900","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"SSD ADATA 1TB SU 680 3D","12 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"SSD DAHUA 512GB C800A","6 300","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"SSD NVME DAHUA 512GB C900","7 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"SSD NVME M.2 512GB LEXAR NM620 3500MO","14 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"SSD TEAMGROUP MP33 256GB","4 800","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"SSD NVME M.2 MSI SPATIUM M450 1000GB PCIE 4","18 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"DISQUE SSD M2 NVME XPG SPACTRIX S20G 500G","12 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"SSD ADATA SU 680 3D 512 GB","6 800","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"HUB BASEUS ELITEJOY GEN2 11PORT TYPE-C HUB ADAPTATEUR 4K HDMI MODEL : BS-OH060","20 000","DA","Bejaia, 6","il y a environ 5 heures","Global Network's"
"Cable téléphonique 10 paires","230","DA","Dely brahim, 16","il y a environ 9 heures",""
"MSI PRO B760M-E INTEL 12 13 14 generation DDR4","23 500","DA","Khenchela, 40","il y a environ 9 heures",""
"IMPRIMANTE HP SMART TANK 580 TOUT-EN-UN MULTIFONCTION A RESERVOIRS WIFI","36 000","DA","Draria, 16","il y a environ 5 heures","DIGITAL WORLD TECHNOLOGY"
"IPBX OmniSwitch ALCATEL","","","Mohammadia, 16","il y a environ 5 heures","BENZ NETWORK SOLUTIONS"
"kit de nettoyage fargo dst 1250 1000","1","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ruban fargo dst 1250 1000","1","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN MSI MAG 275F 180HZ-IPS-0.5MS","43 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"Mini imprimante bluetooth mobile etiquette thermique autocolant","1","DA","Ain benian, 16","il y a environ 9 heures",""
"Projecteur MAGCUBRIQUE HY300 PRO 4K ANDROID WI-FI 6","16 500","DA","Alger centre, 16","il y a environ 9 heures",""
"ECRAN MSI 27"" MD271UL Modern","69 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN MSI 27"" PRO MP273A","30 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN MSI 25"" MSI PRO MP252  1ms-100hz-IPS","23 900","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN MSI 34"" PRO MP341CQW/B BALCK  -WHITE","70 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN ASUS TUF Gaming 27 VG27AQL3A","80 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ROUTEUR TENDA AX 1500 RX2 PRO Et TX PRO WIFI6 ADSL / Fibre","11 000","DA","Alger centre, 16","il y a environ 10 heures",""
"Data show projecteur GY300","19 000","DA","Kouba, 16","il y a environ 10 heures",""
"ECRAN MSI 27"" PRO MP275P","34 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ASUS ProArt Display PA328QV Moniteur professionnel  31,5  IPS WQHD (2560 x 1440)...","135 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN ASUS ProArt Display PA279CV  27  IPS résolution 4K UHD","125 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN ASUS TUF Gaming31.5  VG32AQA1A  WQHD  Overclocking  170Hz au delà de 144Hz...","1","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN ASUS TUF ECRAN 27"" VG27AQ3A QHD(2560x1440), 180Hz, Fast IPS, ELMB Sync, 1m...","65 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"HP Pavillon Gaming Laptop","175 000","DA","Ain naadja, 16","il y a environ 10 heures",""
"Répéteur WIFI sans fil FENVI 300 Mbps Extendeur Wifi à distance Amplificateur Wi...","2 500","DA","Rouiba, 16","il y a environ 10 heures",""
"ECRAN GIGABYTE 31,5 GS32QC Gaming","70 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN GIGABYTE G34WQC Gaming 34""","75 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN ASUS TUF GAMING VG249QL3A  Full HD 180Hz Fast IPS ELMB 1Ms","37 900","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"Ecran asus Tuf Gaming VG279QL3A 27 Fast IPS ELMB 1ms","46 900","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN MSI 24.5""  G255PF E2  FAST IPS  25INCH 180HZ - 1MS  ADAPTIVE SYNC  ADJUSTA...","38 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"SSD ADATA NVME LEGEND 710 256GB","5 400","DA","Khemis el khechna, 35","il y a environ 10 heures",""
"HP Officejet 7110 Wide Format","60 000","DA","Akbou, 6","il y a environ 10 heures",""
"ECRAN AOC U34G3X - IPS - 34 ULTRAWIDE -3440X1440 WQHD -HDR10 - 1MS - 144HZ","109 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
