"Product Name","Location","Time","Store Name","Price","Unity"
"MACBOOK PRO M1 PRO 2021 -  512GB SSD - 16GB RAM","Alger centre, 16","il y a 3 jours","MEZA LAP","219 000","DA"
"ASUS ZENBOOK 14 UX430UA - I5 8250U - 256GB SSD - 8GB RAM","Alger centre, 16","il y a 3 jours","MEZA LAP","52 000","DA"
"LENOVO THINKPAD L13 GEN 1 - vPRO I5 10310U - 256GB SSD - 8GB RAM - UHD 620","Alger centre, 16","il y a 3 jours","MEZA LAP","65 000","DA"
"MICROSOFT SURFACE PRO 7 - I5 1035G4 - 128GB SSD - 8GB RAM","Alger centre, 16","il y a 3 jours","MEZA LAP","75 000","DA"
"Batterie 12v 7ah","Mohammadia, 16","il y a 3 jours","MMC TECHNOLOGIE","",""
"Imprimante Samsung","El biar, 16","il y a 1 jour","","",""
"Alimentation RaidMax 550W Temchi Riglo","Bordj el bahri, 16","il y a 1 jour","","6 500","DA"
"LAPTOP HP ELITEBOOK 840 G8 I5-1135G7 16GB RAM 256GB SSD ECRAN 14"" FHD","Bab ezzouar, 16","il y a 3 jours","ELITE COMPUTER","82 000","DA"
"SERVEURS DELL HP CISCO","Draria, 16","il y a 3 jours","ETET Technologie","",""
"HP MINI ELITEDESK 800 G1","Bab ezzouar, 16","il y a 3 jours","ComTelNet","21 500","DA"
"BOITIER MARS GAMING MC-ULTRA","Tizi ouzou, 15","il y a 3 jours","Tizainformatique","24 900","DA"
"Kaspersky plus et premium 1/3/5 Postes","Bab ezzouar, 16","il y a 3 jours","ComTelNet","2 000","DA"
"DELL XPS 13 9370 i7-08EME 512-16GB","Bab ezzouar, 16","il y a 3 jours","Informatique Store","72 000","DA"
"Logiciel de gestion commerciale (Ventes et Points de Ventes)","Kouba, 16","il y a 3 jours","adicops","45 000","DA"
"DELL POWER EDGE 2950 CPU XEON 2X E5-5405 / RAM 4GB / PSU 2X 750WATTS / HDD 5X 30...","Cheraga, 16","il y a 3 jours","SARL CH INFORMATIQUE","300 000","DA"
"Traceur hp 500 / 500 plus / 510 / 800 / T520","Constantine, 25","il y a 3 jours","Narimane maintenance (soualah yacine)","10","DA"
"Disponible toute la gamme des onduleurs de 600 va à 80 Kva","Oued smar, 16","il y a 3 jours","Kahraba Center","1","DA"
"Disponible toute la gamme des onduleurs","Oued smar, 16","il y a 3 jours","Kahraba Center","1","DA"
"Disponible onduleur 2 kva online","Oued smar, 16","il y a 3 jours","Kahraba Center","1","DA"
"Logiciel de gestion des Points de Ventes","Kouba, 16","il y a 3 jours","adicops","27 000","DA"
"Apple MacBook Pro 2015 15"" 4980H i7 16G 256SSD 15.4 Retina","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","79 000","DA"
"RAM ADATA 4*xGB 2666","Remchi, 13","il y a 1 jour","","",""
"Delle","Mohammadia, 16","il y a 1 jour","","95 000","DA"
"Apple MacBook Pro 2023 M3 Pro 16"" 18G 512 SSD Cycle 30","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","425 000","DA"
"Apple MacBook Pro 13"" 2020 TouchBar i7 1068NG7 16G 1T SSD","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","147 000","DA"
"Apple MacBook Pro 2019 16"" i9 9880H 16G 1T SSD AMD 5500M 4G Full Bypass","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","143 000","DA"
"Apple MacBook Pro M2 2023 8G 256 SSD Gris Sideral  Cycle 65","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","",""
"HP EliteBook 1040 Folio G3 i5 6200U 8G 256 SSD 14"" Full HD","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","44 000","DA"
