"Product Name","Price","Unity","Delivery","Location","Time","Store Name"
"MAC MINI I5/RAM 4G/500G","35 000","DA","Paiement à la livraison","Kouba, 16","il y a 1 jour","EL ASSIL LAPTOP"
"HP PRODESK 400 G3 MINI I5 7th 8GB 256 GB SSD","42 000","DA","","Bab ezzouar, 16","il y a 1 jour","TRETEC"
"ASUS VIVOBOOK  I5 1235U 16GB 512  SSD FULL HD 15.6 OLED","99 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","One Tech"
"HP ELITE x2 G8 TABLET  I5-11TH GÉNÉRATION 16GB RAM 512 SSD  ECRAN FULL HD DÉTACH...","98 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","One Tech"
"Laptop toshiba L50B","50 000","DA","","Laghouat, 3","il y a 1 jour",""
"Macbook pro 2015","36","DA","","Sidi bel abbes, 22","il y a 1 jour",""
"ECRAN MAC APPLE","123","DA","Paiement à la livraison","Kouba, 16","il y a 1 jour","EL ASSIL LAPTOP"
"CARCASSE COVER LAPTOP PC PORTABLE","123","DA","Paiement à la livraison","Kouba, 16","il y a 1 jour","EL ASSIL LAPTOP"
"BATTERIE LAPTOP PC PORTABLE","123","DA","Paiement à la livraison","Kouba, 16","il y a 1 jour","EL ASSIL LAPTOP"
"Manette Sony PS5 DualSense Midnight black","15 000","DA","Paiement à la livraison","Dar el beida, 16","il y a 1 jour","GC STORE"
"Maintenance Traceur Hp","1","DA","","Birtouta, 16","il y a 1 jour","Racimou graphie"
"POINTEUSE AVEC EMPREINTE ALGERIE","","","","Cheraga, 16","il y a 1 jour","Pointeuse Biometrique algerie ASi"
"جهاز البصمة في الجزائر","","","","Cheraga, 16","il y a 1 jour","Pointeuse Biometrique algerie ASi"
"TEG1024D TENDA v7.0 SWITCH ETHERNET GIGABIT à 24 PORTS","","","","Dar el beida, 16","il y a 1 jour","ALCOMTECH"
"NOYAU","","","","Dar el beida, 16","il y a 1 jour","ALCOMTECH"
"TP-LINK POINT D'ACCES SANS FIL GIGABAIT MU-MIMO AC1350 MONTAGE AU PLAFOND","","","","Dar el beida, 16","il y a 1 jour","ALCOMTECH"
"SYSTEME D'ALARME ANTI-INTRUSION TEKNIM KIT","","","","Dar el beida, 16","il y a 1 jour","ALCOMTECH"
"ONDULEUR APC ONLINE MONOPHASE 230V","","","","Rouiba, 16","il y a 1 jour","ONDULEUR SERVICE ALGERIE"
"MACBOOK PRO 2019 | i9 8 cœur | RAM 32Go | SSD 1 TB | Écran 16 3k | Cycle 262","","","Paiement à la livraison","Boumerdes, 35","il y a 2 jours","High Tech Boumerdes"
"DELL PRECISION 3541 WORKSTATION I7 9850H 16GO 512GO SSD 15.6'' DOUBLE CARTE GRAP...","97 000","DA","Livraison gratuite","El biar, 16","il y a 2 jours","Alpha Digital"
"PIESES LAPETOP LENOVO  G 500","7 000","DA","","Baraki, 16","il y a 1 jour",""
"logiciel de gestion  de transport routier de marchandise","","","","Ain fetah, 13","il y a 1 jour",""
"MACBOOK AIR RETINA 13.3'' 2018 I5  8/128GO SSD MAC OS 12.0 MONTERY / 6 MOIS GARA...","105 000","DA","Paiement à la livraison","El biar, 16","il y a 2 jours","Alpha Digital"
"UNITE PC GIGABYTE Z390 I9 9TH 9900KF 32G/SSD500G GPU GTX 1650 4G DUAL AORUS ELIT...","139 500","DA","Livraison disponible","Bab ezzouar, 16","il y a 2 jours","Auvigha Tech"
"Tpe 57 40","75","DA","Paiement à la livraison","Larbaa, 9","il y a 2 jours","being"
"Étiquettes 40 60","360","DA","Paiement à la livraison","Larbaa, 9","il y a 2 jours","being"
"Étiquettes thermique PP 30 50","260","DA","Paiement à la livraison","Larbaa, 9","il y a 2 jours","being"
"HP DRAGONFLY FOLIO G3 2-IN-1 Intel Core i7-1265U 12 Mo à 4,80 GHz 16GB 512GB SSD...","185 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 2 jours","GCB INFORMATIQUE"
"HP DRAGONFLY G4 Intel Core i5-1335U 12 Mo de cache, jusqu à 4,60 GHz  32GB  512G...","155 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 2 jours","GCB INFORMATIQUE"
"Fax Panasonic KX-FT937 / KX 937","35 000","DA","","Ain naadja, 16","il y a 2 jours","sarl vitsys"
"Pc Bureau Hp Occasion","39 500","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 2 jours","TMI Informatique BBZ"
"HP PROBOOK  430 G5 / I5 7200U / RAM 8GO / SSD 256GO / 13,3"" / 7éme GENERATION","47 900","DA","Paiement à la livraison","Alger centre, 16","il y a 2 jours","Campus informatique"
"LENOVO THINKPAD E15 I7 12eme 16gb/512gb IRIS XE","125 000","DA","","Bab ezzouar, 16","il y a 2 jours","Eternel Store"
"LAPTOP DELL LATITUDE 7420 I5-1145 G7 16G 256SSD 14""","86 000","DA","","Kouba, 16","il y a 2 jours","SOFIX COMPUTER"
"✅ Workstation DELL Precision T7810 PRO","","","","Bouira, 10","il y a 2 jours","RS SYSTEMS Company"
"DATEUR MOBILE JET ENCRE","1","DA","Livraison gratuite","Birkhadem, 16","il y a 2 jours","Code Barre Center"
"Ordinateur de bureau","20 000","DA","","El biar, 16","il y a 1 jour",""
"Alimentation 450w","4 900","DA","","Reghaia, 16","il y a 1 jour",""
"ULTRABOOK DELL LATITUDE 7320 affaire","72 000","DA","","Issers, 35","il y a 2 jours","ISSER TECH"
"Asus ZenBook 14 UM425","125 000","DA","","Issers, 35","il y a 2 jours","ISSER TECH"
"Dell xps 13  Intel Core i7-1185G7  3.0GHz, up to 4.8GHz, vPro","115 000","DA","","Issers, 35","il y a 2 jours","ISSER TECH"
"LENOVO THINKPAD X1 CARBON I7 12eme 16gb/512gb","168 000","DA","","Bab ezzouar, 16","il y a 2 jours","Eternel Store"
"HP PROBOOK 650 G2 I5 6300U / RAM 8GO / SSD 256GO / 15.6'' / 6éme GENERATION","46 900","DA","Paiement à la livraison","Alger centre, 16","il y a 2 jours","Campus informatique"
"Dell Précision 3581 i7 13700H 16G 512SSD RTX A500 4G 15.6"" Full HD","188 000","DA","Livraison gratuite","Bab ezzouar, 16","il y a 2 jours","ShiftTech Informatique"
"Microsoft Surface Pro 7 Plus i5 1135G7 8G 256 SSD 2K Tactile Détachable Black Ed...","88 000","DA","Livraison gratuite","Bab ezzouar, 16","il y a 2 jours","ShiftTech Informatique"
"Laptop HP 250 G8","45 000","DA","","Bab ezzouar, 16","il y a 2 jours","Admin Security"
"armoire de brassage","","","","Blida, 9","il y a 2 jours","MacWay Informatique"
"CARTOUCHE HP  Jet d'encre ORIGINE","","","","Douera, 16","il y a 2 jours","CCS Informatique"
"LENOVO YOGA SLIM 7 I7 10eme 8gb/512gb","89 000","DA","","Bab ezzouar, 16","il y a 2 jours","Eternel Store"
"LENOVO THINKPAD L14 GEN 2 I5-1135G7/8G/128SSD/14""/WIN10","62 000","DA","Paiement à la livraison","Kouba, 16","il y a 2 jours","EL ASSIL LAPTOP"
"HUAWEI MATEBOOK D14  RYZEN 5 3500U 8gb/256gb AMD VEGA 8","65 000","DA","","Bab ezzouar, 16","il y a 2 jours","Eternel Store"
